"id","text","aspectTerms__aspectTerm__term","aspectTerms__aspectTerm__polarity","aspectTerms__aspectTerm__from","aspectTerms__aspectTerm__to","aspectCategories__aspectCategory__category","aspectCategories__aspectCategory__polarity"
"1975","Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.","steaks","positive","10","16","food","positive"
"","","salads","positive","76","82","",""
"","","sides","positive","87","92","",""
"3699","Lunch came with pickels and slaw, no extra charge.","Lunch","positive","0","5","price","positive"
"","","pickels and slaw","neutral","16","32","",""
"2875","Decent wine at reasonable prices.","wine","positive","7","11","food","positive"
"","","prices","positive","26","32","price","positive"
"2303","All conveniently delivered right to the door.","delivered","positive","17","26","service","positive"
"2513","even the wine by the glass was good.","wine by the glass","positive","9","26","food","positive"
"458","Nice Family owned traditional restaurant.","","","","","anecdotes/miscellaneous","positive"
"809","would have rather tried terrace in the sky or water club for that price","price","negative","66","71","anecdotes/miscellaneous","neutral"
"","","","","","","price","negative"
"141","This dish is my favorite and I always get it when I go there and never get tired of it.","dish","positive","5","9","food","positive"
"3655","I also ordered the Change Mojito, which was out of this world.","Change Mojito","positive","19","32","food","positive"
"2098","Okay service.","service","neutral","5","12","service","neutral"
"1624","The only thing more wonderful than the food (which is exceptional) is the service.","food","positive","39","43","food","positive"
"","","service","positive","74","81","service","positive"
"1928","We were very pleasantly surprised.","","","","","anecdotes/miscellaneous","positive"
"2377","The food was just awful, ATROCIOUS actually.","food","negative","4","8","food","negative"
"3209","I will never visit this restaurant again.","","","","","anecdotes/miscellaneous","negative"
"338","The soup for the udon was soy sauce and water.","soup for the udon","negative","4","21","food","negative"
"","","soy sauce","neutral","26","35","",""
"","","water","neutral","40","45","",""
"1630","The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","anti-pasta","positive","4","14","food","positive"
"","","calamari","positive","45","53","",""
"","","filling pasta mains","positive","67","86","",""
"1907","The waitress suggested glasses of wine that went very well with the food.","waitress","positive","4","12","food","positive"
"","","food","neutral","68","72","service","positive"
"","","glasses of wine","positive","23","38","",""
"1557","(or sister, in my case!).","","","","","anecdotes/miscellaneous","neutral"
"3408","I've eaten at many different Indian restaurants.","","","","","anecdotes/miscellaneous","neutral"
"1535","They might be all business at the counter when you give your order, but their food says I love you.","food","positive","78","82","food","positive"
"","","counter","negative","34","41","service","negative"
"3202","We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","sushi","positive","29","34","food","positive"
"","","ceviche mix (special)","positive","90","111","",""
"","","crab dumplings","positive","113","127","",""
"","","assorted sashimi","positive","129","145","",""
"","","sushi","positive","147","152","",""
"","","rolls","positive","157","162","",""
"","","sake","positive","177","181","",""
"","","banana tempura","positive","191","205","",""
"449","Try their plain pizza with fresh garlic or eggplant.","plain pizza","positive","10","21","food","positive"
"","","garlic","positive","33","39","",""
"","","eggplant","positive","43","51","",""
"1449","Don't go there!","","","","","anecdotes/miscellaneous","negative"
"927","Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.","servers","negative","11","18","service","conflict"
"","","servers","conflict","81","88","",""
"585","Good luck getting a table.","getting a table","negative","10","25","anecdotes/miscellaneous","negative"
"1927","We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.","","","","","anecdotes/miscellaneous","neutral"
"1367","Don't look down your nose at me like that...","","","","","anecdotes/miscellaneous","negative"
"701","Planet Thai is great!","","","","","anecdotes/miscellaneous","positive"
"345","The service is awful.","service","negative","4","11","service","negative"
"293","Just don't do it.","","","","","anecdotes/miscellaneous","negative"
"1720","Just ignore the trendy wannabes.","","","","","anecdotes/miscellaneous","negative"
"1494","The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!","takeout menu","positive","4","16","food","positive"
"","","menu","positive","57","61","",""
"","","italian dishes","positive","76","90","",""
"1085","Trust me, it will be great, and all of it will be devoured in no time.","","","","","food","positive"
"2636","My girlfiends and I ate at O.G. again last night.","","","","","anecdotes/miscellaneous","neutral"
"1179","I wish they had one near my office- I would go everyday.","","","","","anecdotes/miscellaneous","positive"
"1976","Finally!","","","","","anecdotes/miscellaneous","positive"
"1315","Amma has the worst value for money I have experienced in NYC over the past 2 years.","","","","","price","negative"
"3194","I am not the most experienced person when it comes to Thai food, but my friend who took me there is.","Thai food","neutral","54","63","anecdotes/miscellaneous","neutral"
"688","I think this would be a pretty good spot if it were not so overpriced and overrated.","","","","","price","negative"
"2393","Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.","hostess","positive","82","89","service","positive"
"1278","The pizza is good though.","pizza","positive","4","9","food","positive"
"2201","bottles of wine are cheap and good.","bottles of wine","positive","0","15","price","positive"
"","","","","","","food","positive"
"624","You will not be disapointed at all.","","","","","anecdotes/miscellaneous","positive"
